Age,Gender,Weight (kg),Height (m),Calories_Burned,Workout_Type,Workout_Frequency (days/week),BMI,Name of Exercise
24.11,Male,58.82,1.76,415.42,Yoga,3.04,18.99,Calf Raises
41.04,Female,82.17,1.66,2060.78,Cardio,4.99,29.82,Dragon Flags
42.15,Female,60.3,1.74,2097.52,Strength,5.02,19.92,Plyometric Push-ups
28.23,Male,79.51,1.59,1950.34,HIIT,3.02,31.45,Dead Bugs
53.32,Female,55.68,1.55,814.28,Yoga,3.98,23.18,Glute Bridges
43.07,Male,66.62,1.85,1038.4,Cardio,1.98,19.47,Calf Raises
26.92,Male,103.9,1.68,1239.43,Cardio,3.03,36.81,Inverted Rows
43.35,Male,82.51,1.95,2206.2,Strength,5.01,21.7,Lateral Raises
40.03,Female,62.99,1.53,1507.72,Yoga,5.03,26.91,Lat Pulldowns
41.29,Male,43.56,1.77,792.72,Yoga,3.01,13.9,Plyo Squats
19.32,Male,73.18,1.79,541.2,Yoga,2.98,22.84,Bicycle Crunches
30.0,Male,51.78,1.74,784.8,Yoga,3.0,17.1,Thrusters
51.69,Female,70.91,1.72,1732.08,HIIT,3.0,23.97,Russian Twists
32.54,Female,62.21,1.63,2400.55,HIIT,5.02,23.41,Pull-ups
21.87,Female,51.25,1.59,1382.4,Strength,3.07,20.27,Pull-ups
45.08,Female,51.38,1.65,1266.05,Cardio,2.0,18.87,Leg Press
34.09,Male,66.37,1.62,792.72,Strength,2.0,25.29,Flutter Kicks
58.17,Male,109.07,1.91,1067.38,Yoga,3.0,29.9,Burpees
45.59,Male,48.5,1.64,1352.25,Strength,4.01,18.03,Flutter Kicks
25.05,Female,64.4,1.71,1355.2,HIIT,3.0,22.02,Shoulder Press
37.35,Female,54.63,1.57,1298.08,Strength,3.0,22.16,Frog Jumps
54.23,Female,50.32,1.61,1806.18,HIIT,1.98,19.41,Bulgarian Split Squats
36.43,Male,69.06,1.65,810.32,Yoga,2.99,25.37,Lat Pulldowns
18.16,Male,73.38,1.55,729.07,Cardio,3.0,30.54,Glute Bridges
47.62,Male,68.77,1.74,1597.07,Strength,2.98,22.71,Russian Twists
37.42,Male,102.84,1.89,356.08,Yoga,1.96,28.79,Step-ups
32.14,Female,49.31,1.62,1556.3,HIIT,3.0,18.79,Superman
30.09,Male,61.25,1.55,1405.17,Strength,2.99,25.49,Resistance Band Pull-Aparts
24.35,Male,60.21,1.79,1538.96,Yoga,3.99,18.79,Squats
55.87,Female,58.91,1.56,1665.97,HIIT,3.99,24.21,Dragon Flags
27.59,Female,86.65,1.76,1160.63,Cardio,3.02,27.97,Plyometric Push-ups
25.12,Male,76.46,1.96,663.3,Strength,2.99,19.9,Thrusters
41.88,Male,76.57,1.97,1095.31,Cardio,2.98,19.73,Flutter Kicks
34.01,Female,111.91,1.85,842.4,Yoga,3.97,32.7,Incline Push-ups
18.05,Female,126.66,1.67,1927.2,HIIT,2.98,45.42,Jumping Jacks
31.65,Male,126.44,1.83,1178.18,Strength,3.0,37.76,Leg Press
40.05,Female,70.05,1.55,1040.6,HIIT,3.01,29.16,Bear Crawls
42.77,Female,55.56,1.73,1964.09,Strength,4.98,18.56,Decline Push-ups
56.81,Female,81.51,1.86,2590.29,HIIT,5.0,23.56,Mountain Climbers
38.21,Male,70.74,1.52,1570.8,HIIT,3.99,30.62,Lateral Raises
55.91,Female,88.72,1.68,1381.66,Yoga,5.0,31.43,Flutter Kicks
46.94,Female,40.41,1.76,968.0,HIIT,3.03,13.05,Deadlift
25.22,Male,104.98,1.88,1765.85,HIIT,2.98,29.7,Lat Pulldowns
45.12,Male,89.7,1.81,1977.3,Strength,5.0,27.38,Tricep Dips
18.85,Female,85.21,1.85,1940.71,Strength,4.04,24.9,Lat Pulldowns
52.28,Male,82.15,1.72,979.2,Cardio,4.02,27.77,Renegade Rows
20.31,Female,76.43,1.62,1305.6,Cardio,3.99,29.12,Rows
35.1,Male,43.89,1.62,689.7,HIIT,2.02,16.72,Tricep Extensions
30.19,Female,77.76,1.78,1859.65,HIIT,4.01,24.54,Squats
55.55,Male,62.72,1.86,993.6,Yoga,3.99,18.13,Plyo Squats
32.61,Female,46.15,1.9,1920.38,HIIT,2.96,12.78,Thrusters
22.99,Male,59.04,1.78,2386.26,HIIT,4.98,18.63,Reverse Lunges
32.36,Male,84.33,1.74,962.72,Yoga,2.99,27.85,Pull-ups
29.82,Female,121.23,2.0,903.0,Yoga,3.99,30.31,Squats
33.47,Male,64.49,1.63,2245.1,HIIT,5.0,24.27,Box Jumps
32.93,Male,74.13,1.76,827.31,Yoga,4.0,23.93,Leg Raises
53.67,Male,46.13,1.5,914.11,Yoga,2.0,20.5,Windshield Wipers
46.07,Male,59.73,1.65,2386.26,HIIT,3.97,21.94,Turkish Get-ups
38.86,Male,59.33,1.83,1296.0,Cardio,4.01,17.72,Push Ups
18.82,Male,48.82,1.52,634.18,Yoga,2.01,21.13,Bird Dogs
36.06,Male,59.59,1.78,553.39,Yoga,1.98,18.81,Face Pulls
55.19,Male,70.54,1.62,640.13,HIIT,2.99,26.88,Tricep Extensions
55.16,Male,86.69,1.77,951.19,Cardio,3.0,27.67,Bear Crawls
58.37,Female,51.69,1.79,1352.74,HIIT,3.0,16.13,Superman
51.01,Male,48.81,1.77,975.91,Yoga,2.02,15.58,Tricep Dips
22.25,Male,61.76,1.52,2144.39,Strength,5.0,26.73,Seated Rows
49.35,Female,55.38,1.6,2696.46,HIIT,4.98,21.63,Jumping Jacks
56.94,Male,122.07,1.88,986.5,Cardio,3.01,34.54,Resistance Band Pull-Aparts
23.04,Female,79.31,1.73,1925.59,HIIT,4.0,26.5,Step-ups
38.73,Male,61.49,1.66,921.54,Strength,3.0,22.31,Lat Pulldowns
59.07,Female,41.14,1.65,811.06,Yoga,1.98,15.11,Pull-ups
50.87,Female,49.82,1.61,896.78,Yoga,1.98,19.22,Face Pulls
39.92,Female,57.36,1.71,1457.48,Yoga,4.97,19.62,Shoulder Press
32.99,Male,46.09,1.89,1044.0,Yoga,3.05,12.9,Burpees
57.41,Male,108.85,1.91,1983.3,HIIT,2.98,29.84,Lat Pulldowns
57.39,Male,75.84,1.67,1007.16,Cardio,3.04,27.19,Bear Crawls
50.06,Female,56.07,1.6,1467.53,Yoga,5.01,21.9,Bulgarian Split Squats
39.67,Female,76.94,1.92,811.57,Yoga,4.0,20.87,Bench Press
23.37,Male,60.61,1.59,2570.04,HIIT,3.97,23.97,Tricep Dips
47.27,Male,97.6,1.9,741.15,Strength,3.03,27.04,Bicep Curls
49.94,Male,51.05,1.69,870.41,Yoga,1.99,17.87,Lateral Raises
48.16,Male,128.37,1.61,1144.8,Strength,4.0,49.52,Lat Pulldowns
40.98,Female,44.1,1.77,1175.96,Strength,3.02,14.08,Calf Raises
45.22,Female,52.36,1.88,1413.58,HIIT,4.01,14.81,Flutter Kicks
19.8,Male,76.05,1.77,1532.32,Strength,4.0,24.27,Leg Press
35.68,Female,47.75,1.68,1075.55,Cardio,3.01,16.92,Calf Raises
38.96,Female,101.99,1.94,587.4,Yoga,3.01,27.1,Pull-ups
31.94,Female,86.24,1.6,2851.2,HIIT,5.01,33.69,Thrusters
22.09,Female,70.57,1.77,1317.6,Cardio,3.0,22.53,Push Ups
30.51,Female,77.23,1.77,1016.89,Yoga,4.01,24.65,Flutter Kicks
42.19,Female,45.09,1.6,1268.26,Cardio,2.99,17.61,Bulgarian Split Squats
41.42,Female,81.32,1.87,2669.99,HIIT,5.01,23.25,Pull-ups
52.04,Male,105.02,1.99,817.66,Cardio,1.99,26.52,Face Pulls
36.73,Female,73.46,1.76,879.13,Yoga,3.0,23.72,Tricep Extensions
38.95,Male,58.99,1.93,1456.78,Strength,4.01,15.84,Prone Cobras
22.85,Female,86.85,1.91,1465.27,Yoga,4.97,23.81,Plyometric Push-ups
21.15,Male,89.27,1.6,1779.77,Cardio,3.98,34.87,Squats
42.05,Male,57.48,1.57,1427.4,Yoga,4.0,23.32,Zottman Curls
44.91,Female,59.04,1.51,1243.04,Strength,4.02,25.89,Seated Rows
51.77,Female,86.0,1.8,1985.94,Strength,5.0,26.54,Jumping Jacks
36.56,Female,76.44,1.77,1793.7,HIIT,3.98,24.4,Step-ups
31.07,Male,53.08,1.76,1161.6,Cardio,3.98,17.14,Tricep Extensions
45.59,Male,108.62,1.64,1386.0,Strength,2.99,40.39,Reverse Lunges
52.8,Female,94.04,1.95,1065.77,HIIT,3.01,24.73,Superman
29.92,Female,60.26,1.55,1716.0,HIIT,3.0,25.08,Decline Push-ups
20.72,Female,100.38,1.84,1298.08,Strength,1.97,29.65,Rows
28.6,Female,87.41,1.86,1579.58,Cardio,4.03,25.27,Superman
31.96,Female,84.31,1.74,1436.8,Strength,2.99,27.85,Plank
30.87,Female,48.74,1.51,1292.42,Cardio,2.01,21.38,Jumping Jacks
26.16,Female,110.74,1.9,1018.77,Strength,1.99,30.68,Burpees
31.98,Female,84.22,1.74,1754.5,HIIT,2.96,27.82,Leg Press
23.26,Male,44.19,1.62,689.07,HIIT,1.98,16.84,Tricep Extensions
49.23,Female,70.3,1.67,1137.4,HIIT,3.01,25.21,Decline Push-ups
28.28,Male,85.11,1.79,1777.54,HIIT,4.01,26.56,Seated Rows
21.93,Female,61.58,1.52,2144.39,Strength,4.99,26.65,Leg Press
25.34,Male,40.94,1.67,733.79,Yoga,3.01,14.68,Box Jumps
50.67,Male,48.56,1.77,1293.6,Cardio,2.02,15.5,Jumping Jacks
22.79,Male,57.48,1.71,820.8,Yoga,2.99,19.66,Calf Raises
49.15,Male,60.97,1.87,826.62,Yoga,4.0,17.44,Dips
46.31,Male,109.01,1.64,1234.24,Cardio,3.02,40.53,Turkish Get-ups
23.07,Male,116.79,1.79,957.6,Cardio,3.99,36.45,Flutter Kicks
51.09,Male,48.78,1.77,961.85,Yoga,1.98,15.57,Dragon Flags
32.12,Male,67.93,1.92,1425.6,Strength,1.98,18.43,Tricep Extensions
18.85,Female,72.3,1.75,864.0,Yoga,4.0,23.61,Turkish Get-ups
43.27,Female,54.42,1.72,1348.64,HIIT,4.01,18.4,Frog Jumps
34.09,Female,53.6,1.52,753.08,Yoga,2.97,23.2,Step-ups
28.36,Female,55.86,1.5,2774.2,HIIT,5.04,24.83,Plyo Squats
40.35,Male,56.65,1.78,2082.6,Strength,5.01,17.88,Push Ups
51.89,Female,50.02,1.78,1026.63,HIIT,1.99,15.79,Bird Dogs
40.62,Female,66.86,1.69,507.28,Yoga,1.98,23.41,Squats
39.74,Male,72.14,1.6,573.68,Yoga,3.0,28.18,Deadlifts
43.71,Female,69.37,1.75,679.18,Yoga,3.02,22.65,Deadlifts
25.9,Female,74.05,1.66,799.34,Cardio,2.02,26.87,Lunges
50.94,Male,109.44,1.78,652.81,HIIT,3.01,34.54,Push-ups
45.73,Female,60.19,1.68,1253.84,Strength,3.99,21.33,Bear Crawls
19.98,Female,55.0,1.6,1073.41,Cardio,4.02,21.48,Tricep Dips
41.88,Male,48.48,1.5,1516.74,HIIT,3.0,21.55,Push-ups
28.67,Male,86.07,1.65,1293.8,Yoga,4.02,31.61,Renegade Rows
29.87,Female,121.88,2.0,892.06,Yoga,3.98,30.47,Leg Raises
38.85,Male,61.16,1.64,837.52,Cardio,2.99,22.74,Decline Push-ups
19.09,Male,56.9,1.87,545.1,Cardio,3.01,16.27,Dead Bugs
47.01,Female,62.16,1.54,2797.08,HIIT,4.0,26.21,Face Pulls
54.01,Female,83.77,1.86,1200.28,Yoga,5.01,24.21,Mountain Climbers
31.28,Male,63.39,1.8,518.26,Cardio,2.01,19.56,Reverse Lunges
29.49,Female,87.73,1.93,1943.3,Cardio,5.0,23.55,Renegade Rows
46.98,Male,89.79,1.84,1914.0,HIIT,3.02,26.52,Lat Pulldowns
56.9,Female,80.95,1.86,1880.95,Cardio,4.97,23.4,Bicep Curls
28.88,Female,85.93,1.65,1301.6,Yoga,4.01,31.56,Plyo Squats
21.92,Female,57.29,1.72,960.0,Cardio,2.98,19.37,Renegade Rows
37.43,Female,77.09,1.82,1598.4,Strength,3.99,23.27,Plyo Squats
47.07,Male,66.84,1.75,1490.36,HIIT,3.01,21.83,Wall Angels
20.03,Female,63.44,1.78,1766.64,Cardio,3.99,20.02,Jumping Jacks
31.34,Female,64.91,1.62,573.16,Strength,1.99,24.73,Wall Angels
46.78,Male,79.36,1.77,481.8,Yoga,3.01,25.33,Prone Cobras
40.85,Male,78.49,1.72,961.6,Cardio,3.95,26.53,Prone Cobras
24.14,Male,59.48,1.5,903.0,Yoga,3.0,26.44,Tricep Dips
42.82,Male,113.21,1.83,1557.79,Strength,4.01,33.81,Turkish Get-ups
57.95,Male,50.39,1.67,1499.95,Strength,4.01,18.07,Step-ups
43.79,Female,77.36,1.79,1386.0,Strength,3.02,24.14,Incline Push-ups
52.07,Female,71.11,1.58,741.6,Yoga,2.99,28.49,Step-ups
42.85,Female,65.91,1.83,1206.58,Strength,3.03,19.68,Lateral Raises
23.13,Female,106.75,1.94,898.42,Yoga,2.01,28.36,Inverted Rows
58.08,Female,75.8,1.78,1134.0,Strength,3.98,23.92,Thrusters
59.23,Female,55.0,1.57,574.2,Strength,3.02,22.31,Thrusters
41.17,Male,62.12,1.64,1499.9,Yoga,4.0,23.1,Box Jumps
54.12,Male,55.19,1.71,685.78,Cardio,2.0,18.87,Bicycle Crunches
37.62,Male,76.51,1.58,734.6,Strength,2.0,30.65,Windshield Wipers
54.95,Male,129.82,1.73,672.59,Strength,2.99,43.38,Dragon Flags
49.71,Male,57.21,1.6,2214.7,Strength,4.99,22.35,Dragon Flags
36.0,Female,55.99,1.95,1152.71,Strength,3.98,14.72,Deadlift
41.75,Male,71.82,1.69,1412.4,HIIT,3.0,25.15,Scissors Kicks
52.06,Male,79.69,1.59,998.3,Yoga,3.01,31.52,Leg Raises
53.88,Female,69.62,1.52,666.98,Cardio,2.02,30.13,Plyo Squats
24.0,Male,72.44,1.76,1050.79,HIIT,2.99,23.39,Kettlebell Swings
18.1,Male,64.87,1.55,1524.07,Strength,3.0,27.0,Renegade Rows
25.21,Male,57.66,1.58,972.0,Yoga,3.01,23.1,Lunges
59.04,Male,85.96,1.67,1543.21,Yoga,5.0,30.82,Scissors Kicks
35.73,Male,90.2,1.65,999.13,Yoga,3.97,33.13,Plyo Squats
58.54,Female,59.73,1.76,2024.1,Strength,5.0,19.28,Deadlifts
24.98,Female,62.26,1.64,1190.16,Strength,3.02,23.15,Bench Press
20.71,Female,50.44,1.53,1306.8,HIIT,2.99,21.55,Zottman Curls
31.18,Female,61.1,1.76,2119.33,Strength,3.99,19.72,Deadlifts
30.96,Female,60.31,1.76,1409.63,Yoga,4.02,19.47,Dragon Flags
32.77,Female,78.01,1.71,714.1,Yoga,3.03,26.68,Calf Raises
40.01,Female,93.4,1.93,1364.96,Strength,3.01,25.07,Bird Dogs
34.26,Female,64.6,1.62,1363.95,Yoga,5.0,24.62,Bicycle Crunches
46.04,Female,58.37,1.53,1903.2,Cardio,4.0,24.93,Superman
36.25,Male,100.15,1.99,870.41,Yoga,2.97,25.29,Scissors Kicks
46.71,Female,49.81,1.69,1419.62,Cardio,2.99,17.44,Lat Pulldowns
33.42,Female,53.23,1.52,1231.96,HIIT,2.0,23.04,Dragon Flags
48.17,Male,87.27,1.76,1882.4,Cardio,5.0,28.17,Rows
46.89,Female,127.97,1.65,686.4,Cardio,2.0,47.0,Kettlebell Swings
43.12,Female,61.54,1.58,1955.2,Cardio,4.98,24.65,Bear Crawls
28.94,Female,58.86,1.61,1572.11,HIIT,3.01,22.71,Turkish Get-ups
41.25,Male,94.19,2.0,1441.21,HIIT,3.0,23.55,Bulgarian Split Squats
55.03,Male,117.69,1.72,667.58,Cardio,2.99,39.78,Pull-ups
32.94,Male,58.21,1.67,801.53,Cardio,3.0,20.87,Rows
19.43,Male,73.14,1.79,528.48,Yoga,2.98,22.83,Bird Dogs
55.58,Male,90.55,1.61,999.97,Yoga,2.98,34.93,Jumping Jacks
40.99,Female,55.17,1.55,1914.0,HIIT,4.0,22.96,Push Ups
49.83,Male,96.19,1.72,1056.64,Yoga,3.01,32.51,Incline Push-ups
29.05,Male,68.77,1.72,786.11,Yoga,4.0,23.25,Frog Jumps
21.99,Male,55.08,1.62,1899.77,Strength,4.0,20.99,Lat Pulldowns
31.25,Female,70.49,1.98,475.2,Yoga,2.02,17.98,Windshield Wipers
44.0,Male,47.68,1.76,781.06,Cardio,1.99,15.39,Resistance Band Pull-Aparts
50.85,Male,54.48,1.53,1188.99,Strength,4.01,23.27,Rows
18.0,Male,68.33,1.8,786.11,Yoga,4.03,21.09,Tricep Dips
36.39,Male,122.12,1.93,1072.8,Yoga,3.0,32.78,Push Ups
26.86,Male,77.07,1.7,1161.6,HIIT,2.98,26.67,Incline Push-ups
58.92,Female,65.25,1.52,1351.34,Cardio,2.98,28.24,Scissors Kicks
41.97,Female,98.2,1.91,979.2,Cardio,3.02,26.92,Scissors Kicks
18.78,Male,73.44,1.79,968.88,HIIT,2.96,22.92,Plank
38.01,Male,77.35,1.58,487.51,Yoga,2.02,30.98,Push-ups
52.9,Male,61.48,1.64,653.4,HIIT,2.99,22.86,Reverse Lunges
36.35,Female,47.86,1.68,1474.86,HIIT,2.98,16.96,Bear Crawls
52.27,Male,58.16,1.56,1716.0,Cardio,4.06,23.9,Deadlift
45.2,Male,89.95,1.81,1334.83,Yoga,5.01,27.46,Scissors Kicks
42.1,Male,69.23,1.87,1502.45,Strength,3.04,19.8,Bench Press
42.03,Male,97.87,1.91,1321.1,HIIT,2.99,26.83,Burpees
23.44,Male,121.36,1.85,633.02,Cardio,2.01,35.46,Leg Press
55.76,Male,129.43,1.95,887.18,Cardio,1.97,34.04,Push-ups
45.22,Male,57.29,1.72,1752.67,HIIT,4.02,19.37,Lat Pulldowns
19.01,Male,56.98,1.87,535.82,Cardio,2.96,16.29,Shoulder Press
24.89,Female,81.57,1.61,2008.74,Cardio,3.98,31.47,Dips
59.34,Male,60.3,1.76,2455.82,HIIT,5.02,19.47,Step-ups
44.31,Female,65.65,1.8,885.71,HIIT,2.0,20.26,Deadlifts
48.05,Female,94.73,1.7,726.59,Yoga,3.02,32.78,Dragon Flags
56.7,Male,67.52,1.58,1752.9,HIIT,2.0,27.05,Bicycle Crunches
34.31,Male,87.95,1.64,2226.42,Strength,3.98,32.7,Step-ups
53.86,Male,77.78,1.9,722.26,Cardio,2.02,21.55,Burpees
27.73,Female,79.1,1.59,1607.86,Strength,2.99,31.29,Plank
53.11,Male,64.46,1.55,2081.0,Strength,4.01,26.83,Deadlift
39.43,Male,57.97,1.56,738.1,HIIT,2.01,23.82,Thrusters
26.29,Male,63.74,1.49,2755.65,HIIT,5.0,28.71,Dragon Flags
53.87,Male,117.82,1.62,1365.94,HIIT,4.0,44.89,Pull-ups
22.01,Female,48.05,1.76,1483.3,Strength,3.99,15.51,Resistance Band Pull-Aparts
46.93,Female,88.81,1.6,1924.0,Cardio,5.02,34.69,Decline Push-ups
22.95,Male,82.83,1.8,469.03,Yoga,2.98,25.56,Turkish Get-ups
31.12,Male,57.33,1.56,1869.12,Cardio,5.02,23.56,Plyometric Push-ups
30.84,Female,78.05,1.71,1661.81,HIIT,4.0,26.69,Bulgarian Split Squats
30.69,Male,86.7,1.69,1775.66,Cardio,3.98,30.36,Dead Bugs
47.17,Male,42.21,1.58,1113.33,Strength,3.99,16.91,Rows
42.17,Male,73.19,1.63,457.18,Cardio,3.01,27.55,Lateral Raises
54.12,Male,70.02,1.52,660.0,Cardio,1.99,30.31,Russian Twists
32.26,Male,56.75,1.53,1913.6,Cardio,5.0,24.24,Burpees
49.27,Female,69.81,1.89,469.03,Yoga,3.02,19.54,Lunges
41.85,Male,55.93,1.53,932.8,Cardio,3.0,23.89,Dead Bugs
36.2,Male,55.69,1.94,1046.4,Cardio,4.03,14.8,Thrusters
36.52,Female,109.51,1.62,731.06,Cardio,3.01,41.73,Plank
18.06,Male,68.39,1.8,1073.41,Cardio,4.0,21.11,Bird Dogs
20.89,Female,55.18,1.78,484.0,Cardio,2.01,17.42,Calf Raises
25.31,Male,59.6,1.51,1895.4,Strength,5.01,26.14,Windshield Wipers
51.75,Female,47.53,1.54,1770.27,HIIT,3.02,20.04,Box Jumps
19.78,Female,71.66,1.58,1018.45,Cardio,2.96,28.71,Burpees
45.04,Male,48.14,1.64,1197.0,Cardio,3.99,17.9,Leg Raises
46.93,Female,66.86,1.74,828.0,Yoga,2.98,22.08,Superman
28.88,Female,57.2,1.77,663.3,Strength,3.01,18.26,Jumping Jacks
43.28,Female,81.05,1.78,1839.73,Strength,5.06,25.58,Mountain Climbers
19.13,Female,72.08,1.94,841.7,Yoga,3.0,19.15,Burpees
29.14,Female,53.9,1.52,975.91,Yoga,3.0,23.33,Lunges
21.27,Female,111.51,1.69,1050.35,Strength,3.02,39.04,Burpees
38.18,Female,46.95,1.79,772.99,HIIT,3.02,14.65,Face Pulls
48.78,Male,81.64,1.95,2717.0,HIIT,5.0,21.47,Bird Dogs
42.98,Male,43.92,1.66,893.77,HIIT,2.0,15.94,Squats
37.01,Female,74.74,1.82,887.81,Yoga,3.98,22.56,Seated Rows
22.86,Male,61.16,1.62,2289.76,HIIT,4.98,23.3,Bicycle Crunches
36.07,Female,99.48,1.99,1606.37,HIIT,2.99,25.12,Tricep Dips
31.59,Female,63.74,1.8,389.75,Yoga,1.99,19.67,Deadlifts
